DOI_CR,paper_id,author_full,Fold_Id
10.1016/j.jesp.2012.04.012,eAp,"West, Tessa V.; Heilman, Madeline E.; Gullett, Lindy; Moss-Racusin, Corinne A.; Magee, Joe C.",7.0
10.1016/j.jesp.2010.08.006,PXz,"Todd, Andrew R.; Molden, Daniel C.; Ham, Jaap; Vonk, Roos",6.0
10.1016/j.jesp.2010.11.006,Wre,"Woltin, Karl-Andrew; Corneille, Olivier; Yzerbyt, Vincent Y.; Forster, Jens",5.0
10.1016/j.jesp.2011.05.010,bx8,"Tannenbaum, David; Uhlmann, Eric Luis; Diermeier, Daniel",5.0
10.1016/j.jesp.2009.11.009,0mk,"Lehmiller, Justin J.; Law, Alvin T.; Tormala, Teceta Thomas",3.0
10.1016/j.jesp.2009.11.013,l7w,"Tetlock, Philip E.; Self, William T.; Singh, Ramadhar",10.0
10.1016/j.jesp.2009.12.016,V85,"Adams, Reginald B., Jr.; Pauker, Kristin; Weisbuch, Max",10.0
10.1016/j.jesp.2010.02.004,qZZ,"Parks-Stamm, Elizabeth J.; Oettingen, Gabriele; Gollwitzer, Peter M.",9.0
10.1016/j.jesp.2009.02.006,rKb,"Leliveld, Marijke C.; van Beest, Ilja; van Dijk, Eric; Tenbrunsel, Ann E.",6.0
10.1016/j.jesp.2009.06.014,P4J,"Franklin, Robert G., Jr.; Adams, Reginald B., Jr.",10.0
10.1016/j.jesp.2009.07.003,YbK,"LeBel, Etienne P.; Campbell, Lorne",8.0
10.1016/j.jesp.2009.07.002,rpq,"Kang, Sonia K.; Chasteen, Alison L.",2.0
10.1093/jcr/ucx080,kLW,"Steffel, Mary; Williams, Elanor F.",6.0
10.1093/jcr/ucx092,QpK,"Kupor, Daniella M.; Liu, Wendy; Amir, On",3.0
10.1093/jcr/ucx124,DwX,"Huetter, Mandy; Sweldens, Steven",6.0
10.1093/jcr/ucx109,Ow0,"Netemeyer, Richard G.; Warmath, Dee; Fernandes, Daniel; Lynch Jr, John G.",3.0
10.1093/jcr/ucx107,Wwr,"Kwon, Mina; Adaval, Rashmi",5.0
10.1093/jcr/ucx054,yXV,"Bastos, Wilson; Brucks, Merrie",10.0
10.1093/jcr/ucx057,kRW,"Wu, Freeman; Samper, Adriana; Morales, Andrea C.; Fitzsimons, Gavan J.",4.0
10.1093/jcr/ucx084,0b8,"Jost, John T.; Langer, Melanie; Singh, Vishal",8.0
10.1093/jcr/ucx066,l4J,"Monga, Ashwani; May, Frank; Bagchi, Rajesh",2.0
10.1093/jcr/ucx067,5JE,"Rozenkrants, Bella; Wheeler, S. Christian; Shiv, Baba",4.0
10.1093/jcr/ucv059,d8p,"Ilyuk, Veronika; Block, Lauren",10.0
10.1093/jcr/ucw008,Zp4,"Romero, Marisabel; Biswas, Dipayan",2.0
10.1093/jcr/ucw044,9ey,"Brough, Aaron R.; Wilkie, James E. B.; Ma, Jingjing; Isaac, Mathew S.; Gal, David",4.0
10.1086/680087,Q9m,"Richins, Marsha L.; Chaplin, Lan Nguyen",9.0
10.1086/680670,mrZ,"Bartels, Daniel M.; Urminsky, Oleg",4.0
10.1093/jcr/ucv032,eb7,"Faraji-Rad, Ali; Samuelsen, Bendik M.; Warlop, Luk",4.0
10.1086/680089,OOb,"Chernev, Alexander; Blair, Sean",6.0
10.1086/677893,OaN,"Shah, Anuj K.; Alter, Adam L.",9.0
10.1086/678035,RJb,"de Langhe, Bart; van Osselaer, Stijn M. J.; Puntoni, Stefano; McGill, Ann L.",6.0
10.1086/678392,XLb,"Lee, Hyojin; Deng, Xiaoyan; Unnava, H. Rao; Fujita, Kentaro",8.0
10.1086/678194,4mV,"Chen, Cathy Yi; Mathur, Pragya; Maheswaran, Durairaj",4.0
10.1086/668535,8Qe,"Clarkson, Joshua J.; Janiszewski, Chris; Cinelli, Melissa D.",8.0
10.1086/668900,BaDx,"Duclos, Rod; Wan, Echo Wen; Jiang, Yuwei",8.0
10.1086/669330,VNgD,"Weiss, Liad; Johar, Gita V.",5.0
10.1086/669256,8E9e,"Richins, Marsha L.",9.0
10.1086/660838,dDDJ,"Mishra, Arul; Mishra, Himanshu; Masters, Tamara M.",2.0
10.1086/661936,599w,"Van Kerckhove, Anneleen; Geuens, Maggie; Vermeir, Iris",6.0
10.1086/662615,gw38,"Van Ittersum, Koert; Wansink, Brian",8.0
10.1086/662613,jN32,"Hong, Jiewen; Sun, Yacheng",5.0
10.1086/657998,NNk8,"Palmeira, Mauricio M.",4.0
10.1086/658469,eg3p,"Cutright, Keisha M.; Wu, Eugenia C.; Banfield, Jillian C.; Kay, Aaron C.; Fitzsimons, Gavan J.",4.0
10.1086/660811,dDz8,"King, Dan; Janiszewski, Chris",8.0
10.1086/657163,8Eav,"Keinan, Anat; Kivetz, Ran",3.0
10.1086/649028,ORNO,"Meyers-Levy, Joan; Zhu, Rui (Juliet); Jiang, Lan",3.0
10.1086/653139,NNGV,"Irmak, Caglar; Vallen, Beth; Sen, Sankar",10.0
10.1086/655417,egKl,"Zhang, Ying; Huang, Szu-Chi",8.0
10.1086/655668,ld8V,"Pham, Michel Tuan; Chang, Hannah H.",7.0
10.1086/593692,25bR,"Sela, Aner; Berger, Jonah; Liu, Wendy",3.0
10.1086/593690,1zb7,"Tanner, Robin J.; Carlson, Kurt A.",5.0
10.1086/598615,kNP4,"Dewitte, Siegfried; Bruyneel, Sabrina; Geyskens, Kelly",2.0
10.1086/592943,QR2V,"Zauberman, Gal; Ratner, Rebecca K.; Kim, B. Kyu",8.0
10.1037/lhb0000288,RGg7,"Modjadidi, Karima; Kovera, Margaret Bull",3.0
10.1037/lhb0000291,Ba9E,"Eisen, Mitchell L.; Cedre, Gabriela C.; Williams, T'awna Q.; Jones, Jennifer M.",3.0
10.1037/lhb0000265,a8AB,"Scherr, Kyle C.; Normile, Christopher J.; Bierstetel, Sabrina J.; Franks, Andrew S.; Hawkins, Ian",5.0
10.1037/lhb0000266,1zWE,"Walters, Glenn D.",8.0
10.1037/lhb0000275,QRgq,"Newheiser, Anna-Kaisa; DeMarco, Tina C.",5.0
10.1037/lhb0000227,zKJ1,"Giebels, Ellen; Oostinga, Miriam S. D.; Taylor, Paul J.; Curtis, Joanna L.",7.0
10.1037/lhb0000234,AWLO,"Baguley, Chantelle M.; McKimmie, Blake M.; Masser, Barbara M.",1.0
10.1037/lhb0000253,K4bk,"Holland, Kathryn J.; Cortina, Lilia M.",5.0
10.1037/lhb0000249,YBGl,"Williams, Kirk R.; Stansfield, Richard",10.0
10.1037/lhb0000159,bw2k,"Hope, Lorraine; Blocksidge, David; Gabbert, Fiona; Sauer, James D.; Lewinski, William; Mirashi, Arta; Atuk, Emel",5.0
10.1037/lhb0000170,Wp4V,"Jones, Natalie J.; Brown, Shelley L.; Robinson, David; Frey, Deanna",7.0
10.1037/lhb0000179,VNxX,"Hogan, Neil R.; Olver, Mark E.",7.0
10.1037/lhb0000168,vjaw,"Lowder, Evan M.; Desmarais, Sarah L.; Baucom, Daniel J.",1.0
10.1037/lhb0000116,25Yg,"Zelle, Heather; Romaine, Christina L. Riggs; Goldstein, Naomi E. S.",2.0
10.1037/lhb0000117,K47e,"Ruva, Christine L.; Guenther, Christina C.",6.0
10.1037/lhb0000123,YBDZ,"Walters, Glenn D.; DeLisi, Matt",8.0
10.1037/lhb0000053,a84D,"Wood, Jane L.; Alleyne, Emma; Mozova, Katarina; James, Mark",8.0
10.1037/lhb0000071,YB8N,"Vitacco, Michael J.; Vauter, Rebecca; Erickson, Steven K.; Ragatz, Laurie",3.0
10.1037/lhb0000078,gwpg,"Smalarz, Laura; Wells, Gary L.",9.0
10.1037/lhb0000087,4drq,"Rabelo, Veronica Caridad; Cortina, Lilia M.",5.0
10.1037/h0093991,YBWN,"Louden, Jennifer Eno; Skeem, Jennifer L.",7.0
10.1037/lhb0000020,4dQq,"Robbennolt, Jennifer K.",10.0
10.1037/lhb0000029,zK4y,"Takahashi, Masaru; Mori, Takemi; Kroner, Daryl G.",9.0
10.1037/lhb0000001,EGVy,"Gowensmith, W. Neil; Murrie, Daniel C.; Boccaccini, Marcus T.",2.0
10.1037/h0093971,dDd2,"Salekin, Randall T.; Lester, Whitney S.; Sellers, Mary-Kate",1.0
10.1037/h0093975,WpON,"Wallace, D. Brian; Kassin, Saul M.",3.0
10.1037/h0093923,xYDP,"Palmer, Matthew A.; Brewer, Neil",8.0
10.1037/h0093993,0Ry2,"Levin, Andrew; Besser, Avi; Albert, Linda; Smith, Deborah; Neria, Yuval",1.0
10.1037/h0093977,PK5J,"Williams, Kirk R.",10.0
10.1007/s10979-010-9220-x,a8OO,"Monahan, Kathryn C.; Goldweber, Asha; Cauffman, Elizabeth",3.0
10.1007/s10979-010-9224-6,JYPB,"McAllister, Hunter A.; Baiamonte, Brandon A.; Ory, Justin H.; Scherer, Joseph A.",10.0
10.1007/s10979-010-9234-4,xYkP,"Day, Martin V.; Ross, Michael",4.0
10.1007/s10979-010-9252-2,wmwk,"Eke, Angela W.; Seto, Michael C.; Williams, Jennette",6.0
10.1007/s10979-009-9178-8,0RL8,"McAuliff, Bradley D.; Bornstein, Brian H.",6.0
10.1007/s10979-009-9181-0,3OkJ,"Beck, Connie J. A.; Walsh, Michele E.; Mechanic, Mindy B.; Taylor, Caitilin S.",8.0
10.1007/s10979-009-9199-3,wmrZ,"Odgers, Candice L.; Robins, Summer J.; Russell, Michael A.",3.0
10.1007/s10979-008-9174-4,JYKk,"Kahan, Dan M.; Braman, Donald; Monahan, John; Callahan, Lisa; Peters, Ellen",1.0
10.1037/apl0000260,rO4R,"van Dijke, Marius; De Cremer, David; Langendijk, Gerben; Anderson, Cameron",4.0
10.1037/apl0000224,0RPb,"Rockmann, Kevin W.; Ballinger, Gary A.",8.0
10.1037/apl0000221,ld0y,"Antonakis, John; House, Robert J.; Simonton, Dean Keith",1.0
10.1037/apl0000238,qNvQ,"Lindsey, Alex P.; Avery, Derek R.; Dawson, Jeremy F.; King, Eden B.",7.0
10.1037/apl0000243,92pL,"Bamberger, Peter A.; Geller, Dvora; Doveh, Etti",10.0
10.1037/apl0000055,WpWX,"Ali, Abdifatah A.; Ryan, Ann Marie; Lyons, Brent J.; Ehrhart, Mark G.; Wessel, Jennifer L.",3.0
10.1037/apl0000105,QRx1,"Guarana, Cristiano L.; Hernandez, Morela",2.0
10.1037/apl0000082,mBL1,"Ballard, Timothy; Yeo, Gillian; Neal, Andrew; Farrell, Simon",9.0
10.1037/apl0000057,zKGr,"Li, Wen-Dong; Stanek, Kevin C.; Zhang, Zhen; Ones, Deniz S.; McGue, Matt",9.0
10.1037/apl0000152,Baqk,"Ritter, Kelsey-Jo; Matthews, Russell A.; Ford, Michael T.; Henderson, Alexandra A.",10.0
10.1037/a0038098,RGqE,"Rockstuhl, Thomas; Ang, Soon; Ng, Kok-Yee; Lievens, Filip; Van Dyne, Linn",3.0
10.1037/a0038479,gwaK,"Podsakoff, Nathan P.; Maynes, Timothy D.; Whiting, Steven W.; Podsakoff, Philip M.",10.0
10.1037/a0038634,3OGW,"Kramer, Amit; Chung, Wonjoon",7.0
10.1037/a0038707,DEmL,"Hoffman, Brian J.; Kennedy, Colby L.; LoPilato, Alexander C.; Monahan, Elizabeth L.; Lance, Charles E.",6.0
10.1037/a0035498,4dPN,"Lian, Huiwen; Ferris, D. Lance; Morrison, Rachel; Brown, Douglas J.",4.0
10.1037/a0035863,PK3K,"Mawritz, Mary B.; Dust, Scott B.; Resick, Christian J.",2.0
10.1037/a0038083,Zj3J,"Lehmann-Willenbrock, Nale; Allen, Joseph A.",7.0
10.1037/a0036978,kNO4,"Rapp, Tammy L.; Bachrach, Daniel G.; Rapp, Adam A.; Mullins, Ryan",4.0
10.1037/a0035640,8EeW,"Mohammed, Susan; Nadkarni, Sucheta",8.0
10.1037/a0031909,WpzV,"Hirschfeld, Robert R.; Cole, Michael S.; Bernerth, Jeremy B.; Rizzuto, Tracey E.",6.0
10.1037/a0032002,a8zB,"Watson, Aaron M.; Thompson, Lori Foster; Rudolph, Jane V.; Whelan, Thomas J.; Behrend, Tara S.; Gissel, Amanda L.",4.0
10.1037/a0033862,Ldzz,"Tse, Herman H. M.; Lam, Catherine K.; Lawrence, Sandra A.; Huang, Xu",8.0
10.1037/a0032857,bwjk,"Bobocel, D. Ramona",8.0
10.1037/a0026682,dD7l,"Davison, Robert B.; Hollenbeck, John R.; Barnes, Christopher M.; Sleesman, Dustin J.; Ilgen, Daniel R.",2.0
10.1037/a0025739,pYQ3,"Aryee, Samuel; Walumbwa, Fred O.; Seidu, Emmanuel Y. M.; Otaye, Lilian E.",2.0
10.1037/a0027832,59VB,"Debus, Maike E.; Probst, Tahira M.; Koenig, Cornelius J.; Kleinmann, Martin",7.0
10.1037/a0024844,925Z,"de Wit, Frank R. C.; Greer, Lindred L.; Jehn, Karen A.",4.0
10.1037/a0023937,egX9,"Gabriel, Allison S.; Diefendorff, James M.; Erickson, Rebecca J.",9.0
10.1037/a0022675,G43z,"Bashshur, Michael R.; Hernandez, Ana; Gonzalez-Roma, Vicente",5.0
10.1037/a0021574,PKAw,"Mueller, Jennifer S.; Kamdar, Dishan",1.0
10.1037/a0022465,AWmN,"Hu, Jia; Liden, Robert C.",5.0
10.1037/a0021442,2504,"Shapiro, Debra L.; Boss, Alan D.; Salas, Silvia; Tangirala, Subrahrnaniarn; Von Glinow, Mary Ann",6.0
10.1037/a0019939,RGRV,"Park, Guihyun; DeShon, Richard P.",2.0
10.1037/a0020754,pYPj,"Wang, Xiao-Hua (Frank); Howell, Jane M.",1.0
10.1037/a0018804,Ba3Q,"Ng, Thomas W. H.; Feldman, Daniel C.; Lam, Simon S. K.",6.0
10.1037/a0018377,59bm,"Raver, Jana L.; Nishii, Lisa H.",2.0
10.1037/a0014628,a8kO,"Lievens, Filip; Sackett, Paul R.; Buyse, Tine",3.0
10.1037/a0016115,XvLK,"Ferris, D. Lance; Brown, Douglas J.; Lian, Huiwen; Keeping, Lisa M.",4.0
10.1037/a0014494,eg0Q,"De Dreu, Carsten K. W.; Nauta, Aukje",8.0
10.1037/a0012994,qNRg,"Choi, Jin Nam; Chang, Jae Yoon",8.0
10.1007/s11747-017-0546-5,eRwQ,"Meyer, Jeffrey; Shankar, Venkatesh; Berry, Leonard L.",6.0
10.1007/s11747-018-0580-y,GeVd,"Wetzel, Hauke A.; Hattula, Stefan; Hammerschmidt, Maik; van Heerde, Harald J.",8.0
10.1007/s11747-018-0582-9,qdyg,"Sheng, Shibin; Zhou, Kevin Zheng; Li, Julie Juan; Guo, Zhaoyang",3.0
10.1007/s11747-016-0508-3,g3wY,"Lee, Na Young; Noble, Stephanie M.; Biswas, Dipayan",2.0
10.1007/s11747-017-0515-z,OkRb,"Wilson, Andrew E.; Giebelhausen, Michael D.; Brady, Michael K.",5.0
10.1007/s11747-016-0490-9,Geep,"Sadovnikova, Anna; Pujari, Ashish",10.0
10.1007/s11747-014-0421-6,9YYy,"Wolter, Jeremy S.; Cronin, J. Joseph, Jr.",4.0
10.1007/s11747-015-0457-2,Repb,"Swoboda, Bernhard; Puchert, Cathrin; Morschett, Dirk",8.0
10.1007/s11747-014-0401-x,9YDa,"Chng, Daniel Han Ming; Shih, Eric; Rodgers, Matthew S.; Song, Xiao-Bing",9.0
10.1007/s11747-014-0406-5,2z2q,"Kaeuferle, Monika; Reinartz, Werner",5.0
10.1007/s11747-015-0442-9,kEmj,"Mena, Jeannette A.; Chabowski, Brian R.",6.0
10.1007/s11747-015-0439-4,w5QP,"Watson, George F.; Beck, Joshua T.; Henderson, Conor M.; Palmatier, Robert W.",7.0
10.1007/s11747-013-0349-2,dXvX,"Pick, Doreen; Eisend, Martin",10.0
10.1007/s11747-014-0369-6,9Yja,"Choi, Jungsil; Li, Yexin Jessica; Rangan, Priyamvadha; Chatterjee, Promothesh; Singh, Surendra N.",6.0
10.1007/s11747-014-0372-y,9YjL,"Tsai, Meng-Chun; Lou, Yung-Chien; Bei, Lien-Ti; Monroe, Kent B.",7.0
10.1007/s11747-014-0373-x,yDyG,"Pappu, Ravi; Cornwell, T. Bettina",4.0
10.1007/s11747-012-0321-6,VvGD,"Kalaignanam, Kartik; Bahadir, S. Cem",3.0
10.1007/s11747-012-0317-2,qd3Q,"Leonidou, Constantinos N.; Katsikeas, Constantine S.; Morgan, Neil A.",5.0
10.1007/s11747-013-0325-x,WE7Z,"Mazodier, Marc; Rezaee, Amir",3.0
10.1007/s11747-011-0265-2,1VbB,"Dant, Rajiv P.; Weaven, Scott K.; Baker, Brent L.; Jeon, Hyo Jin (Jean)",7.0
10.1007/s11747-011-0285-y,Q1Ga,"Mazodier, Marc; Merunka, Dwight",3.0
10.1007/s11747-011-0254-5,vR3L,"Fombelle, Paul W.; Jarvis, Cheryl Burke; Ward, James; Ostrom, Lonnie",5.0
10.1007/s11747-011-0247-4,AgRY,"Raithel, Sascha; Sarstedt, Marko; Scharf, Sebastian; Schwaiger, Manfred",10.0
10.1007/s11747-011-0272-3,OkKB,"Evanschitzky, Heiner; Ramaseshan, B.; Woisetschlaeger, David M.; Richelsen, Verena; Blut, Markus; Backhaus, Christof",1.0
10.1007/s11747-010-0220-7,NjD8,"Homburg, Christian; Mueller, Michael; Klarmann, Martin",6.0
10.1007/s11747-010-0234-1,r8jd,"Kirca, Ahmet H.; Bearden, William O.; Roth, Kendall",3.0
10.1007/s11747-010-0225-2,584w,"Stock, Ruth Maria; Zacharias, Nicolas Andy",4.0
10.1007/s11747-009-0185-6,Dl8D,"Webster, Cynthia; White, Allyn",6.0
10.1007/s11747-010-0189-2,w527,"Carter, Robert E.; Curry, David J.",4.0
10.1007/s11747-009-0179-4,VvkV,"Collier, Joel E.; Sherrell, Daniel L.",10.0
10.1007/s11747-009-0153-1,7YXJ,"Zhou, Lianxi; Yang, Zhiyong; Hui, Michael K.",8.0
10.1007/s11747-009-0140-6,Nj8V,"Wentzel, Daniel",10.0
10.1007/s11747-008-0119-8,ze1L,"Patrick, Vanessa M.; Lancellotti, Matthew; Hagtvedt, Henrik",1.0
10.1007/s11747-009-0144-2,Rejv,"Raggio, Randle D.; Folse, Judith Anne Garretson",1.0
10.1007/s10683-017-9540-5,w5ZG,"Kurz, Verena; Orland, Andreas; Posadzy, Kinga",10.0
10.1007/s10683-017-9547-y,Pkez,"Andersen, Steffen; Ertac, Seda; Gneezy, Uri; List, John A.; Maximiano, Sandra",8.0
10.1007/s10683-017-9558-8,OkDO,"Aycinena, Diego; Rentschler, Lucas",6.0
10.1007/s10683-016-9498-8,xmjb,"Andersson, Ola; Miettinen, Topi; Hytonen, Kaisa; Johannesson, Magnus; Stephan, Ute",7.0
10.1007/s10683-016-9509-9,08v5,"Rudisser, Maximilian; Flepp, Raphael; Franck, Egon",6.0
10.1007/s10683-016-9496-x,E2AP,"Buser, Thomas; Dreber, Anna; Mollerstrom, Johanna",2.0
10.1007/s10683-015-9434-3,ReY7,"Kalayci, Kenan; Serra-Garcia, Marta",5.0
10.1007/s10683-015-9436-1,J4W9,"Banerjee, Ritwik",3.0
10.1007/s10683-015-9467-7,41rN,"Casari, Marco; Zhang, Jingjing; Jackson, Christine",10.0
10.1007/s10683-015-9459-7,bGy8,"Maggian, Valeria; Villeval, Marie Claire",5.0
10.1007/s10683-014-9392-1,AgQX,"Andreoni, James; Gee, Laura K.",4.0
10.1007/s10683-014-9418-8,WE5V,"Robbett, Andrea",10.0
10.1007/s10683-013-9358-8,j3y4,"Drugov, Mikhail; Hamman, John; Serra, Danila",4.0
10.1007/s10683-013-9366-8,NjKj,"Mak, Vincent; Zwick, Rami",1.0
10.1007/s10683-013-9372-x,eR5K,"Koppel, Hannes; Regner, Tobias",5.0
10.1007/s10683-013-9354-z,J492,"Nikiforakis, Nikos; Mitchell, Helen",6.0
10.1007/s10683-012-9334-8,41wO,"Filippin, Antonio; Guala, Francesco",2.0
10.1007/s10683-012-9342-8,Njqj,"Cleave, Blair L.; Nikiforakis, Nikos; Slonim, Robert",6.0
10.1007/s10683-012-9346-4,eRaK,"Cabrera, Susana; Fatas, Enrique; Lacomba, Juan A.; Neugebauer, Tibor",10.0
10.1007/s10683-013-9350-3,Vv25,"Bichler, Martin; Shabalin, Pasha; Wolf, Juergen",5.0
10.1007/s10683-011-9285-5,587l,"Proto, Eugenio; Sgroi, Daniel; Oswald, Andrew J.",7.0
10.1007/s10683-011-9301-9,E2aZ,"Cramton, Peter; Filiz-Ozbay, Emel; Ozbay, Erkut Y.; Sujarittanonta, Pacharasut",5.0
10.1007/s10683-011-9293-5,Vv2X,"Levy-Garboua, Louis; Maafi, Hela; Masclet, David; Terracol, Antoine",2.0
10.1007/s10683-011-9295-3,AgO1,"Rodriguez-Lara, Ismael; Moreno-Garrido, Luis",5.0
10.1007/s10683-010-9271-3,PkZr,"Ballinger, T. Parker; Hudson, Eric; Karkoviata, Leonie; Wilcox, Nathaniel T.",6.0
10.1007/s10683-011-9281-9,VvZX,"Janssen, Marco A.; Anderies, John M.; Joshi, Sanket R.",8.0
10.1007/s10683-011-9284-6,dXOl,"Di Mauro, Carmela; Castro, Massimo Finocchiaro",5.0
10.1007/s10683-010-9234-8,824a,"Kagel, John H.; Sung, Hankyoung; Winter, Eyal",3.0
10.1007/s10683-010-9244-6,g3e9,"Bellemare, Charles; Bissonnette, Luc; Kroger, Sabine",8.0
10.1007/s10683-010-9242-8,NjQa,"Cadsby, C. Bram; Servatka, Maros; Song, Fei",8.0
10.1007/s10683-010-9252-6,vRrw,"Takeuchi, Kan; Lin, John C.; Chen, Yan; Finholt, Thomas A.",5.0
10.1007/s10683-010-9237-5,w5rW,"Coricelli, Giorgio; Joffily, Mateus; Montmarquette, Claude; Villeval, Marie Claire",5.0
10.1007/s10683-009-9218-8,qdrw,"Goerg, Sebastian J.; Selten, Reinhard",10.0
10.1007/s10683-009-9221-0,Ok5L,"Boone, Jan; Chen, Roy; Goeree, Jacob K.; Polydoro, Angelo",9.0
10.1007/s10683-007-9189-6,7YjP,"Sherstyuk, Katerina",10.0
10.1002/job.2256,Dlry,"Lehmann-Willenbrock, Nale; Chiu, Ming Ming",7.0
10.1002/job.2271,zePy,"Burtscher, Michael J.; Meyer, Bertolt; Jonas, Klaus; Feese, Sebastian; Troester, Gerhard",9.0
10.1002/job.2233,BjbQ,"Minbashian, Amirali; Beckmann, Nadin; Wood, Robert E.",1.0
10.1002/job.2247,AgB9,"Schecter, Aaron; Pilny, Andrew; Leung, Alice; Poole, Marshall Scott; Contractor, Noshir",2.0
10.1002/job.2158,34Wj,"Li, Junchao (Jason); Burch, Tyler C.; Lee, Thomas W.",5.0
10.1002/job.2194,58km,"Dahling, Jason J.; Gutworth, Melissa B.",5.0
10.1002/job.2118,Q1dl,"King, Scott P.; Bryant, Fred B.",4.0
10.1002/job.2171,j3Wd,"De Wit, Frank R. C.; Scheepers, Daan; Ellemers, Naomi; Sassenberg, Kai; Scholl, Annika",4.0
10.1002/job.2047,dX42,"Solinger, Omar N.; Hofmans, Joeri; Bal, P. Matthijs; Jansen, Paul G. W.",8.0
10.1002/job.2045,OkXy,"Williams, Michele",10.0
10.1002/job.2050,g3Oz,"Hood, Anthony C.; Bachrach, Daniel G.; Zivnuska, Suzanne; Bendoly, Elliot",4.0
10.1002/job.2086,p97E,"Ragsdale, Jennifer M.; Beehr, Terry A.",7.0
10.1002/job.1978,J40k,"Becker, William J.; Cropanzano, Russell",3.0
10.1002/job.1982,yDBV,"Schoen, Jeremy L.",4.0
10.1002/job.1990,XP0K,"Zheng, Xiaoming; Zhu, Weichun; Zhao, Haixia; Zhang, Chi",1.0
10.1002/job.1999,p9pE,"David, Emily M.; Avery, Derek R.; Witt, L. A.; McKay, Patrick F.",7.0
10.1002/job.1879,xm1O,"Mawritz, Mary B.; Folger, Robert; Latham, Gary P.",2.0
10.1002/job.1897,kEVP,"Sung, Sun Young; Choi, Jin Nam",8.0
10.1002/job.1899,g3XY,"Lin, Xiaowan; Leung, Kwok",3.0
10.1002/job.1865,41Ew,"Sun, Li-Yun; Pan, Wen; Chow, Irene Hau Siu",4.0
10.1002/job.1868,9Yqy,"Sliter, Michael; Kale, Aron; Yuan, Zhenyu",3.0
10.1002/job.1804,Pkyd,"Kwon, Kiwook; Rupp, Deborah E.",1.0
10.1002/job.1807,58A2,"Wittmer, Jenell L. S.; Sinclair, Robert R.; Martin, James E.; Tucker, Jennifer S.; Lang, Jessica",1.0
10.1002/job.1842,yD1Q,"Triana, Maria del Carmen; Porter, Christopher O. L. H.; DeGrassi, Sandra W.; Bergman, Mindy",9.0
10.1002/job.1839,w5KP,"Kalinoski, Zachary T.; Steele-Johnson, Debra; Peyton, Elizabeth J.; Leas, Keith A.; Steinke, Julie; Bowling, Nathan A.",7.0
